symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MYC,1.585,0.000764,458.82,tumor,breast_her2
ERBB2,3.657,0.000756,1213.03,tumor,breast_her2
EGFR,2.671,0.000245,3589.21,tumor,breast_her2
KRAS,2.269,0.000188,1196.35,tumor,breast_her2
PIK3CA,2.236,0.000244,912.34,tumor,breast_her2
AKT1,2.071,0.000829,2987.58,tumor,breast_her2
CCND1,1.696,0.000854,4279.51,tumor,breast_her2
MDM2,1.734,0.00027,2700.44,tumor,breast_her2
BRAF,1.145,0.003054,2754.53,tumor,breast_her2
NRAS,0.848,0.070324,3511.95,tumor,breast_her2
TP53,-1.311,0.0084,2979.37,tumor,breast_her2
RB1,-1.146,0.006851,3205.43,tumor,breast_her2
PTEN,-2.556,0.000693,941.2,tumor,breast_her2
BRCA1,-1.621,0.000342,776.65,tumor,breast_her2
BRCA2,-2.108,0.000286,3695.27,tumor,breast_her2
CDKN2A,-2.816,0.000765,2434.25,tumor,breast_her2
CDKN1A,-1.152,0.001745,3203.28,tumor,breast_her2
CDKN1B,-0.824,0.039397,4759.04,tumor,breast_her2
APC,-1.392,0.008483,3088.97,tumor,breast_her2
VHL,-1.474,0.006029,3645.13,tumor,breast_her2
ATM,-0.806,0.014025,1960.84,tumor,breast_her2
CHEK1,-0.957,0.024316,4598.3,tumor,breast_her2
CHEK2,-0.983,0.017328,2829.87,tumor,breast_her2
RAD51,-0.786,0.03345,1830.89,tumor,breast_her2
PARP1,-0.855,0.037574,3784.59,tumor,breast_her2
MLH1,-1.713,0.000502,1559.97,tumor,breast_her2
MSH2,-1.385,0.007326,863.21,tumor,breast_her2
XRCC1,-1.0,0.06514,1593.95,tumor,breast_her2
ESR1,-0.602,0.050361,789.16,tumor,breast_her2
PGR,-3.016,0.00029,4460.23,tumor,breast_her2
AR,0.41,0.011103,1494.45,tumor,breast_her2
LRP6,-0.685,0.043334,2219.71,tumor,breast_her2
CD28,-0.203,0.047427,2995.48,tumor,breast_her2
CCNC,0.004,0.035591,1605.99,tumor,breast_her2
CBX8,-0.47,0.046719,268.87,tumor,breast_her2
IGFBP3,-0.26,0.020381,2862.31,tumor,breast_her2
GMNN,0.16,0.098642,4178.43,tumor,breast_her2
PRNP,-0.829,0.011019,560.35,tumor,breast_her2
MYO18A,0.598,0.023388,1088.33,tumor,breast_her2
PIAS2,0.119,0.015482,3295.25,tumor,breast_her2
PLK2,-0.811,0.063938,621.41,tumor,breast_her2
RNF4,0.869,0.076878,2884.34,tumor,breast_her2
SERPINA1,0.589,0.024843,3531.85,tumor,breast_her2
PAPPA2,1.047,0.001208,956.06,tumor,breast_her2
GHR,-1.381,0.00219,4058.43,tumor,breast_her2
FOXO3,-0.281,0.048274,2822.89,tumor,breast_her2
CACNA1I,0.185,0.023872,3174.66,tumor,breast_her2
ITGB3,-0.434,0.076105,3922.18,tumor,breast_her2
OTUD3,0.171,0.033352,3162.1,tumor,breast_her2
RTEL1,0.53,0.074526,2255.94,tumor,breast_her2
PSMD2,-0.347,0.027772,2125.51,tumor,breast_her2
CAST,-0.16,0.071902,1510.48,tumor,breast_her2
NCOR2,1.546,0.000287,3422.15,tumor,breast_her2
VCAN,-0.462,0.017217,1018.68,tumor,breast_her2
SP1,0.417,0.090507,2719.65,tumor,breast_her2
EXOG,-0.966,0.011256,2211.16,tumor,breast_her2
DNMT3B,0.634,0.084631,404.62,tumor,breast_her2
XRCC6,0.46,0.026331,3403.96,tumor,breast_her2
IGF2BP3,0.16,0.093186,1624.25,tumor,breast_her2
STK26,0.073,0.027492,1420.61,tumor,breast_her2
SCG2,0.702,0.024396,1454.87,tumor,breast_her2
E2F3,0.29,0.016052,660.36,tumor,breast_her2
HES1,1.398,0.003524,3494.38,tumor,breast_her2
KAT2A,-0.749,0.029542,1674.3,tumor,breast_her2
NR4A1,-1.737,0.000914,717.91,tumor,breast_her2
FGFR3,-0.357,0.032202,2060.31,tumor,breast_her2
DUSP7,-1.228,0.003352,1109.09,tumor,breast_her2
OMA1,0.292,0.069401,4153.33,tumor,breast_her2
FGFR1,1.109,0.00421,2769.56,tumor,breast_her2
DUSP8,1.033,0.003598,4411.95,tumor,breast_her2
TET1,0.536,0.082811,2085.33,tumor,breast_her2
BIRC5,-0.181,0.094961,4578.43,tumor,breast_her2
STC2,0.169,0.062395,3605.87,tumor,breast_her2
FGA,1.504,0.000373,3243.76,tumor,breast_her2
BDNF,-0.639,0.060175,3918.95,tumor,breast_her2
PSMD11,0.534,0.026261,3849.68,tumor,breast_her2
NCAN,0.294,0.050144,1444.96,tumor,breast_her2
BCL2,0.895,0.080662,1017.98,tumor,breast_her2
SMARCA5,-1.293,0.008777,1638.14,tumor,breast_her2
ACIN1,0.135,0.058854,2886.19,tumor,breast_her2
PIK3CG,0.722,0.061405,4582.37,tumor,breast_her2
CNTN2,1.068,0.007234,1699.29,tumor,breast_her2
KTN1,-0.219,0.043135,4105.8,tumor,breast_her2
FGR,0.363,0.06794,3104.0,tumor,breast_her2
H1-0,0.092,0.01139,1939.78,tumor,breast_her2
HERC2,-1.326,0.004132,863.48,tumor,breast_her2
COP1,0.051,0.089765,4011.37,tumor,breast_her2
UIMC1,-0.963,0.041889,3295.46,tumor,breast_her2
DCC,1.549,0.000382,1861.03,tumor,breast_her2
MAML1,0.32,0.09026,703.46,tumor,breast_her2
FZD8,0.143,0.062064,3973.23,tumor,breast_her2
BAG4,1.41,0.005908,1075.55,tumor,breast_her2
TGOLN2,1.151,0.002673,1904.66,tumor,breast_her2
OGG1,-0.621,0.035454,4907.67,tumor,breast_her2
AP3B1,0.362,0.038307,1519.25,tumor,breast_her2
CSH1,-0.108,0.028499,1651.26,tumor,breast_her2
HIP1,-1.4,0.001795,3053.91,tumor,breast_her2
IGFBP4,-0.432,0.054679,2640.24,tumor,breast_her2
GGT5,0.714,0.039309,2426.63,tumor,breast_her2
ASF1A,-0.642,0.024644,900.84,tumor,breast_her2
COPS6,0.414,0.098946,2697.74,tumor,breast_her2
EME2,-0.597,0.089308,4814.19,tumor,breast_her2
VIM,0.968,0.040075,3001.34,tumor,breast_her2
KSR2,0.244,0.061065,2885.74,tumor,breast_her2
GSDME,2.0,0.000964,2501.42,tumor,breast_her2
ELOC,-0.241,0.071026,389.84,tumor,breast_her2
ATIC,0.693,0.098347,2435.14,tumor,breast_her2
DERL2,-0.053,0.071519,621.54,tumor,breast_her2
KAT2B,-0.136,0.03261,3249.7,tumor,breast_her2
CCNK,-0.699,0.044301,1734.69,tumor,breast_her2
WFS1,0.385,0.068609,1635.1,tumor,breast_her2
PDE3B,-0.026,0.053433,3146.92,tumor,breast_her2
RAD51C,-0.506,0.067539,3530.69,tumor,breast_her2
POLR3F,0.279,0.053297,2527.52,tumor,breast_her2
GPC3,0.94,0.037121,4656.73,tumor,breast_her2
MFGE8,0.344,0.056201,2038.23,tumor,breast_her2
CDK13,0.212,0.029116,4257.85,tumor,breast_her2
PSMB7,-0.331,0.015662,3356.76,tumor,breast_her2
COPS3,-0.141,0.050961,3525.08,tumor,breast_her2
CEP43,-0.943,0.054061,3391.36,tumor,breast_her2
MYD88,2.0,0.000889,4699.01,tumor,breast_her2
CARS1,0.336,0.024909,205.87,tumor,breast_her2
EPHA5,-1.248,0.008247,396.95,tumor,breast_her2
NGEF,0.328,0.080612,682.57,tumor,breast_her2
PORCN,-0.773,0.077192,3375.85,tumor,breast_her2
CACNA1D,-0.366,0.065494,4088.87,tumor,breast_her2
HES5,-0.183,0.012271,1786.45,tumor,breast_her2
LIMK1,0.009,0.010059,1762.93,tumor,breast_her2
CLTC,-0.069,0.092569,300.76,tumor,breast_her2
H2AZ2,-0.044,0.033553,2015.19,tumor,breast_her2
RRBP1,0.235,0.034878,2530.03,tumor,breast_her2
ISG15,-1.012,0.001849,1653.42,tumor,breast_her2
FANCD2,-0.18,0.044407,3749.39,tumor,breast_her2
NUP37,-1.017,0.00602,1220.38,tumor,breast_her2
NGFR,0.031,0.047496,2562.88,tumor,breast_her2
ICOS,-0.262,0.034309,3880.26,tumor,breast_her2
PRR5,-0.385,0.069786,670.26,tumor,breast_her2
BCL2L11,1.053,0.008442,1312.67,tumor,breast_her2
KL,-1.068,0.00366,3149.03,tumor,breast_her2
FGF9,-0.44,0.055553,3085.44,tumor,breast_her2
COL4A5,0.977,0.090936,618.79,tumor,breast_her2
NEIL1,-0.735,0.077915,3316.07,tumor,breast_her2
STAT5B,-0.331,0.077552,4163.61,tumor,breast_her2
SLC25A5,0.282,0.037058,1115.71,tumor,breast_her2
APH1B,-0.66,0.076694,3126.78,tumor,breast_her2
STAT3,-0.504,0.02943,2799.52,tumor,breast_her2
GINS1,-0.405,0.039255,1022.76,tumor,breast_her2
ALKBH3,-0.723,0.024802,4277.95,tumor,breast_her2
YWHAZ,0.132,0.054354,524.32,tumor,breast_her2
PLXNB1,1.193,0.001532,989.46,tumor,breast_her2
C4B,-0.68,0.030316,4766.91,tumor,breast_her2
CNKSR1,-0.508,0.027135,1821.38,tumor,breast_her2
PRDX1,-0.494,0.032998,2949.77,tumor,breast_her2
POLG,0.986,0.023039,1692.87,tumor,breast_her2
TRPM1,-0.223,0.023433,1249.11,tumor,breast_her2
TRIP11,0.551,0.048566,2797.04,tumor,breast_her2
POLI,1.07,0.003,4595.25,tumor,breast_her2
TNKS,-0.057,0.040336,4808.52,tumor,breast_her2
GTF2H1,-0.436,0.018136,2313.21,tumor,breast_her2
MNAT1,1.423,0.001943,1810.29,tumor,breast_her2
MBTPS1,1.877,0.000765,1001.69,tumor,breast_her2
PPP2R1B,1.176,0.004491,4614.33,tumor,breast_her2
LMNA,0.188,0.011813,1048.14,tumor,breast_her2
HGF,0.051,0.068591,3804.02,tumor,breast_her2
MET,0.213,0.025519,4999.99,tumor,breast_her2
AURKA,-1.482,0.007899,2458.36,tumor,breast_her2
CST3,-0.219,0.045363,715.03,tumor,breast_her2
H2BC12,0.411,0.058613,273.9,tumor,breast_her2
TRIM27,-1.08,0.009532,4412.19,tumor,breast_her2
NEURL1,-1.162,0.002135,2850.41,tumor,breast_her2
MIB1,-0.071,0.031885,3467.61,tumor,breast_her2
CHRDL1,0.05,0.093733,903.49,tumor,breast_her2
SHC1,0.928,0.074061,3400.27,tumor,breast_her2
PLCG1,-0.824,0.072735,4396.59,tumor,breast_her2
YES1,-0.299,0.055112,1141.9,tumor,breast_her2
IKBKB,0.338,0.020978,1525.68,tumor,breast_her2
PSMC4,0.74,0.053641,438.21,tumor,breast_her2
PRKAR2B,-0.304,0.056691,4574.92,tumor,breast_her2
AHCYL1,0.052,0.035425,1473.11,tumor,breast_her2
GFRA4,0.222,0.026118,128.82,tumor,breast_her2
MBD4,0.262,0.092313,2089.82,tumor,breast_her2
CGA,0.073,0.050698,3538.38,tumor,breast_her2
COL2A1,-0.344,0.017781,2526.83,tumor,breast_her2
KLB,0.698,0.0827,2539.23,tumor,breast_her2
AHSG,0.119,0.092287,2604.54,tumor,breast_her2
TET2,-0.584,0.065025,2849.33,tumor,breast_her2
PLK1,0.86,0.088828,4396.25,tumor,breast_her2
GNG3,-0.199,0.092642,1611.13,tumor,breast_her2
POLR2C,0.963,0.034386,1822.23,tumor,breast_her2
