symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MYC,2.663,0.000275,3667.26,tumor,breast_tnbc
ERBB2,2.156,0.000383,4275.01,tumor,breast_tnbc
EGFR,2.437,0.000829,3761.23,tumor,breast_tnbc
KRAS,2.037,0.000509,3176.17,tumor,breast_tnbc
PIK3CA,1.807,0.000903,3922.37,tumor,breast_tnbc
AKT1,1.679,0.000656,3583.34,tumor,breast_tnbc
CCND1,2.207,0.000473,3872.99,tumor,breast_tnbc
MDM2,1.503,0.000662,605.99,tumor,breast_tnbc
BRAF,1.608,0.000322,2193.76,tumor,breast_tnbc
NRAS,1.268,0.004573,2696.03,tumor,breast_tnbc
TP53,-2.108,7.2e-05,1547.67,tumor,breast_tnbc
RB1,-0.829,0.039235,2124.1,tumor,breast_tnbc
PTEN,-1.37,0.003088,4374.41,tumor,breast_tnbc
BRCA1,-2.671,0.00021,379.06,tumor,breast_tnbc
BRCA2,-2.065,0.000818,2961.7,tumor,breast_tnbc
CDKN2A,-2.373,0.000453,662.94,tumor,breast_tnbc
CDKN1A,-0.9,0.027901,4168.66,tumor,breast_tnbc
CDKN1B,-0.905,0.044678,1884.69,tumor,breast_tnbc
APC,-1.742,0.000658,2764.22,tumor,breast_tnbc
VHL,-1.315,0.00977,4453.54,tumor,breast_tnbc
ATM,-1.639,0.000795,4140.04,tumor,breast_tnbc
CHEK1,-1.05,0.005707,962.26,tumor,breast_tnbc
CHEK2,-0.834,0.013953,4697.63,tumor,breast_tnbc
RAD51,-0.637,0.076162,1842.84,tumor,breast_tnbc
PARP1,-0.486,0.089684,4660.19,tumor,breast_tnbc
MLH1,-1.08,0.002388,192.05,tumor,breast_tnbc
MSH2,-1.059,0.007001,4827.34,tumor,breast_tnbc
XRCC1,-0.971,0.072373,2563.13,tumor,breast_tnbc
ESR1,-2.916,0.000329,1764.88,tumor,breast_tnbc
PGR,-2.776,0.000874,2845.1,tumor,breast_tnbc
AR,-2.234,0.000495,2497.92,tumor,breast_tnbc
GNAZ,0.597,0.044432,1666.8,tumor,breast_tnbc
H1-4,1.084,0.003173,1724.44,tumor,breast_tnbc
HDAC5,0.811,0.09637,268.73,tumor,breast_tnbc
FGF17,-1.565,0.000882,405.95,tumor,breast_tnbc
CDC27,-0.333,0.011998,999.2,tumor,breast_tnbc
MNAT1,-0.106,0.044896,2416.21,tumor,breast_tnbc
ANAPC5,0.483,0.086005,1322.23,tumor,breast_tnbc
CBL,0.441,0.040972,2216.42,tumor,breast_tnbc
NUP160,-0.837,0.067021,1123.51,tumor,breast_tnbc
GNGT2,-0.9,0.089679,1707.85,tumor,breast_tnbc
PNKP,-0.243,0.059882,3137.24,tumor,breast_tnbc
ELL,-0.673,0.082023,3874.6,tumor,breast_tnbc
LIG3,-0.371,0.093679,3886.99,tumor,breast_tnbc
IGF2BP3,0.85,0.065997,3209.9,tumor,breast_tnbc
ERCC4,-1.351,0.008324,2186.41,tumor,breast_tnbc
AIM2,1.611,5.4e-05,3848.94,tumor,breast_tnbc
ICOS,1.323,0.006541,4714.75,tumor,breast_tnbc
NEURL1,0.363,0.096724,864.83,tumor,breast_tnbc
COPS7B,-0.535,0.042404,3341.09,tumor,breast_tnbc
NGFR,0.25,0.047844,2574.57,tumor,breast_tnbc
SLC25A6,-0.032,0.087659,2050.7,tumor,breast_tnbc
RPA4,-1.737,0.000631,1998.95,tumor,breast_tnbc
LAMB1,-0.61,0.04651,4624.77,tumor,breast_tnbc
PLCG1,1.66,9.3e-05,2985.82,tumor,breast_tnbc
C4A,1.011,0.00569,4766.2,tumor,breast_tnbc
RAD9B,-0.431,0.062836,647.93,tumor,breast_tnbc
FURIN,-0.974,0.062252,4076.0,tumor,breast_tnbc
UVSSA,-1.54,0.00012,3180.71,tumor,breast_tnbc
NTHL1,0.307,0.026672,4207.91,tumor,breast_tnbc
H1-5,-1.221,0.007854,3770.59,tumor,breast_tnbc
EFNA4,-0.496,0.01115,919.91,tumor,breast_tnbc
RABGGTB,0.835,0.079995,2916.43,tumor,breast_tnbc
UBXN1,-0.031,0.047557,3999.07,tumor,breast_tnbc
COL6A2,0.5,0.062314,4265.44,tumor,breast_tnbc
GTF2H5,0.452,0.040416,3053.47,tumor,breast_tnbc
RAD51AP1,0.004,0.080298,994.82,tumor,breast_tnbc
RHOC,0.065,0.084797,493.75,tumor,breast_tnbc
MAP3K11,-0.08,0.068379,354.94,tumor,breast_tnbc
FGF10,0.31,0.093014,4703.26,tumor,breast_tnbc
SEL1L,0.66,0.035472,3741.2,tumor,breast_tnbc
COPS7A,0.698,0.038592,1242.77,tumor,breast_tnbc
ORC5,0.34,0.086516,2154.86,tumor,breast_tnbc
KREMEN1,0.271,0.065529,668.57,tumor,breast_tnbc
USP45,-0.097,0.09398,4031.47,tumor,breast_tnbc
HEYL,0.827,0.026021,1587.65,tumor,breast_tnbc
COPS8,-0.023,0.093709,3342.76,tumor,breast_tnbc
FGFR1OP2,0.054,0.06451,1299.81,tumor,breast_tnbc
STC2,-0.806,0.044367,1942.32,tumor,breast_tnbc
GSDME,0.339,0.060207,1240.6,tumor,breast_tnbc
CDC16,0.771,0.050096,4072.73,tumor,breast_tnbc
CASP7,-0.373,0.020154,2717.77,tumor,breast_tnbc
QSOX1,-0.063,0.033212,1738.27,tumor,breast_tnbc
MAPK1,0.746,0.040528,583.04,tumor,breast_tnbc
DDX41,1.718,0.000628,3581.74,tumor,breast_tnbc
LY96,-1.032,0.007092,3338.41,tumor,breast_tnbc
BAZ1B,0.006,0.014805,2732.02,tumor,breast_tnbc
CD14,-0.388,0.030811,2056.21,tumor,breast_tnbc
MSRB3,0.695,0.027278,1632.3,tumor,breast_tnbc
GNB4,0.88,0.060349,596.37,tumor,breast_tnbc
FANCD2,0.624,0.024597,3259.34,tumor,breast_tnbc
HINT1,-0.519,0.016023,1804.1,tumor,breast_tnbc
IHH,-0.552,0.036545,3336.22,tumor,breast_tnbc
DCLRE1A,0.709,0.014126,161.33,tumor,breast_tnbc
MBTPS1,0.037,0.084133,3857.29,tumor,breast_tnbc
GTF2H4,0.103,0.093869,4995.16,tumor,breast_tnbc
CARD8,0.217,0.089545,2560.33,tumor,breast_tnbc
PSIP1,-1.322,0.006583,3164.27,tumor,breast_tnbc
ERBB4,-0.071,0.055682,2830.48,tumor,breast_tnbc
PPP3R1,-0.191,0.07005,4043.12,tumor,breast_tnbc
BID,0.307,0.044277,3329.62,tumor,breast_tnbc
PHC2,-0.454,0.017109,1338.24,tumor,breast_tnbc
RPA2,-0.394,0.056062,4078.23,tumor,breast_tnbc
F2,-0.842,0.063869,691.01,tumor,breast_tnbc
EFNA1,-1.69,0.000962,3725.11,tumor,breast_tnbc
FCGR3A,-0.417,0.044038,358.18,tumor,breast_tnbc
POLRMT,-1.474,0.001651,4215.03,tumor,breast_tnbc
DIABLO,0.703,0.065547,4383.7,tumor,breast_tnbc
NUP62,1.356,0.009635,1964.63,tumor,breast_tnbc
ADAM17,-0.193,0.014353,1334.03,tumor,breast_tnbc
IGFBP4,-0.886,0.088909,3014.22,tumor,breast_tnbc
FGFR4,-0.778,0.015292,952.53,tumor,breast_tnbc
SHOC2,-0.548,0.043824,3684.68,tumor,breast_tnbc
POLE4,0.774,0.024722,848.68,tumor,breast_tnbc
HDAC9,0.608,0.094563,2588.45,tumor,breast_tnbc
FGF9,-0.55,0.083575,2439.74,tumor,breast_tnbc
DAPK2,0.905,0.073733,3276.09,tumor,breast_tnbc
ADCY5,0.462,0.058987,3422.25,tumor,breast_tnbc
RHNO1,-0.55,0.050801,4888.61,tumor,breast_tnbc
TERF2,1.314,0.001212,1664.33,tumor,breast_tnbc
SERPINA1,0.863,0.08396,1594.14,tumor,breast_tnbc
PENK,0.516,0.0516,2437.17,tumor,breast_tnbc
CEP43,-1.234,0.007805,3668.95,tumor,breast_tnbc
CCN1,-0.498,0.074114,2145.52,tumor,breast_tnbc
CD86,-0.504,0.06426,2824.63,tumor,breast_tnbc
AGO1,-0.071,0.016661,4759.63,tumor,breast_tnbc
COL6A6,0.396,0.088673,2929.36,tumor,breast_tnbc
PPP2R5D,-0.521,0.020627,3049.28,tumor,breast_tnbc
FGFR1,-0.16,0.03983,2414.88,tumor,breast_tnbc
COL4A1,-0.824,0.086947,1960.18,tumor,breast_tnbc
CTBP2,0.054,0.042975,796.26,tumor,breast_tnbc
INO80B,0.014,0.030482,4543.4,tumor,breast_tnbc
NUP88,0.192,0.082274,771.68,tumor,breast_tnbc
PSMD14,0.36,0.061682,872.67,tumor,breast_tnbc
WDCP,0.235,0.079822,4776.86,tumor,breast_tnbc
MCRS1,0.6,0.041306,2248.49,tumor,breast_tnbc
PRDX2,-0.892,0.054009,4947.51,tumor,breast_tnbc
TCF7,-0.533,0.043645,1441.35,tumor,breast_tnbc
RNASEH1,0.515,0.018242,4043.0,tumor,breast_tnbc
FANCC,-0.083,0.011084,3690.88,tumor,breast_tnbc
MEPE,0.253,0.036475,1161.98,tumor,breast_tnbc
PRSS23,-0.186,0.069949,4759.08,tumor,breast_tnbc
PSMD13,0.843,0.061042,3779.71,tumor,breast_tnbc
PIK3CB,0.803,0.078239,3787.11,tumor,breast_tnbc
E2F1,0.218,0.055897,1256.18,tumor,breast_tnbc
PRKACG,1.102,0.00876,3190.97,tumor,breast_tnbc
POLR3E,0.118,0.03351,3497.92,tumor,breast_tnbc
COPS6,0.382,0.086199,4883.96,tumor,breast_tnbc
QKI,-0.111,0.028009,4648.07,tumor,breast_tnbc
PPFIBP1,-1.095,0.006628,168.59,tumor,breast_tnbc
H2AC14,0.664,0.080111,2346.14,tumor,breast_tnbc
MCM3,-0.18,0.0943,2175.38,tumor,breast_tnbc
MAPK9,-0.173,0.060652,832.74,tumor,breast_tnbc
TNRC6B,1.506,0.000363,2037.08,tumor,breast_tnbc
CCND3,0.425,0.068054,758.42,tumor,breast_tnbc
ACTR5,0.476,0.094751,3925.17,tumor,breast_tnbc
TYK2,-1.308,0.007644,3776.14,tumor,breast_tnbc
COL4A3,-1.065,0.009977,3509.01,tumor,breast_tnbc
POLR3G,-0.317,0.047715,2572.72,tumor,breast_tnbc
DNMT3B,0.088,0.056301,1686.71,tumor,breast_tnbc
CENPX,0.444,0.058062,4900.65,tumor,breast_tnbc
ATF2,0.238,0.044373,4810.86,tumor,breast_tnbc
MRAS,0.553,0.038575,128.91,tumor,breast_tnbc
PRKACB,0.02,0.081207,235.85,tumor,breast_tnbc
MSH6,0.449,0.090152,1983.13,tumor,breast_tnbc
OTUD7A,1.718,0.000438,4694.45,tumor,breast_tnbc
CCNT1,0.669,0.033885,4915.44,tumor,breast_tnbc
POLR3H,-1.718,0.000821,2512.04,tumor,breast_tnbc
BCL6,1.493,0.006543,2962.53,tumor,breast_tnbc
MLST8,0.814,0.072912,3901.07,tumor,breast_tnbc
AGGF1,-0.071,0.069777,3516.73,tumor,breast_tnbc
TFDP1,-0.248,0.047894,686.64,tumor,breast_tnbc
SRC,-1.272,0.007999,1010.65,tumor,breast_tnbc
APIP,0.424,0.047909,3760.98,tumor,breast_tnbc
