symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MYC,2.333,0.000983,2296.78,tumor,comprehensive
ERBB2,2.058,0.000212,1682.29,tumor,comprehensive
EGFR,2.424,0.000135,718.52,tumor,comprehensive
KRAS,1.768,0.000276,3628.61,tumor,comprehensive
PIK3CA,1.496,0.003486,3551.72,tumor,comprehensive
AKT1,1.156,0.009464,3062.85,tumor,comprehensive
CCND1,1.603,0.000331,3175.05,tumor,comprehensive
MDM2,2.206,0.000361,4343.69,tumor,comprehensive
BRAF,1.732,0.00053,3993.53,tumor,comprehensive
NRAS,1.305,0.003056,681.52,tumor,comprehensive
TP53,-1.029,0.006201,3113.5,tumor,comprehensive
RB1,-0.694,0.044585,4273.98,tumor,comprehensive
PTEN,-1.527,8e-05,2129.85,tumor,comprehensive
BRCA1,-1.234,0.003416,2096.53,tumor,comprehensive
BRCA2,-2.582,0.000133,3417.52,tumor,comprehensive
CDKN2A,-2.531,0.000942,3992.8,tumor,comprehensive
CDKN1A,-0.586,0.042799,3078.91,tumor,comprehensive
CDKN1B,-1.519,0.000609,170.13,tumor,comprehensive
APC,-2.308,0.000268,4795.24,tumor,comprehensive
VHL,-1.146,0.007362,4337.47,tumor,comprehensive
ATM,-0.989,0.075338,4837.22,tumor,comprehensive
CHEK1,-1.269,0.007846,4547.18,tumor,comprehensive
CHEK2,-1.02,0.002667,1307.77,tumor,comprehensive
RAD51,-0.771,0.042388,2441.01,tumor,comprehensive
PARP1,-0.63,0.026328,2989.49,tumor,comprehensive
MLH1,-1.582,0.000982,4085.56,tumor,comprehensive
MSH2,-1.423,0.008376,965.52,tumor,comprehensive
XRCC1,-0.678,0.015176,4177.44,tumor,comprehensive
ESR1,1.172,0.00461,168.27,tumor,comprehensive
PGR,0.798,0.037981,2026.46,tumor,comprehensive
AR,-1.737,0.000493,2260.2,tumor,comprehensive
WDCP,-0.434,0.021936,927.03,tumor,comprehensive
GEN1,-0.626,0.051177,3879.51,tumor,comprehensive
NUP133,1.021,0.005015,1050.86,tumor,comprehensive
JAG2,-0.472,0.086153,2365.97,tumor,comprehensive
SH2B1,0.506,0.048431,3852.42,tumor,comprehensive
RNF43,-0.69,0.024761,935.81,tumor,comprehensive
CCNK,0.163,0.011389,3134.14,tumor,comprehensive
NCOR1,-0.793,0.063879,1672.99,tumor,comprehensive
MUS81,0.045,0.091975,4557.06,tumor,comprehensive
POLR3B,-0.624,0.024955,826.21,tumor,comprehensive
SPTBN1,-0.803,0.034652,345.79,tumor,comprehensive
CENPX,1.054,0.001033,3564.39,tumor,comprehensive
TRIB3,-0.506,0.097827,3115.78,tumor,comprehensive
PRIM1,0.263,0.030228,115.61,tumor,comprehensive
INO80,0.356,0.030216,3008.4,tumor,comprehensive
RCHY1,0.055,0.071604,948.17,tumor,comprehensive
BCAP31,-0.569,0.032068,640.51,tumor,comprehensive
ANAPC16,-0.664,0.069255,447.71,tumor,comprehensive
ADAM17,0.604,0.044498,3660.79,tumor,comprehensive
ANAPC11,0.268,0.079803,4491.05,tumor,comprehensive
USP45,-0.51,0.050785,1791.87,tumor,comprehensive
RFC2,0.185,0.018061,2431.01,tumor,comprehensive
POLN,-1.123,0.002173,2722.76,tumor,comprehensive
IGF2BP1,1.092,0.001601,1446.19,tumor,comprehensive
MAP2K1,-0.274,0.027686,2379.91,tumor,comprehensive
TINF2,-0.269,0.095151,783.65,tumor,comprehensive
SLC22A18,0.613,0.078909,4726.56,tumor,comprehensive
BDNF,0.217,0.084138,3097.48,tumor,comprehensive
ADCY1,-0.635,0.045419,411.34,tumor,comprehensive
RNF135,-0.246,0.043772,794.32,tumor,comprehensive
TRIM21,0.058,0.087768,320.11,tumor,comprehensive
PKMYT1,2.0,0.000501,2752.34,tumor,comprehensive
AIM2,-0.798,0.031195,1349.45,tumor,comprehensive
PLXNB1,1.08,0.002879,193.85,tumor,comprehensive
PSENEN,1.011,0.004471,1680.64,tumor,comprehensive
USP10,-0.476,0.024618,3188.81,tumor,comprehensive
RNF2,0.721,0.081792,1116.56,tumor,comprehensive
TNRC6A,0.11,0.070193,3973.56,tumor,comprehensive
PIK3CD,-0.571,0.08029,301.63,tumor,comprehensive
DSG2,0.368,0.025161,1220.57,tumor,comprehensive
CACNA1G,1.285,0.001836,397.11,tumor,comprehensive
PIK3R4,-1.531,0.000958,1444.05,tumor,comprehensive
DDB2,0.519,0.07505,421.56,tumor,comprehensive
RFC4,-0.218,0.011211,205.41,tumor,comprehensive
EREG,-0.427,0.029004,3503.26,tumor,comprehensive
SPRED2,1.539,0.000322,4045.63,tumor,comprehensive
PRKCD,-1.737,0.000701,3770.21,tumor,comprehensive
PPP2CB,0.172,0.07431,4464.91,tumor,comprehensive
TPM4,0.728,0.019402,3283.31,tumor,comprehensive
DUSP8,0.37,0.051601,747.49,tumor,comprehensive
POLR3G,-0.353,0.038313,1831.67,tumor,comprehensive
DNA2,0.167,0.054045,3543.64,tumor,comprehensive
FANCA,0.85,0.064917,3215.4,tumor,comprehensive
GDNF,-0.571,0.022269,4738.58,tumor,comprehensive
IGFBP2,-0.158,0.04922,3681.86,tumor,comprehensive
ANAPC15,-0.181,0.055195,3619.11,tumor,comprehensive
CACNB4,-0.223,0.025118,868.61,tumor,comprehensive
RING1,0.618,0.07226,494.44,tumor,comprehensive
RPS6KA5,1.043,0.004794,2710.7,tumor,comprehensive
CTBP1,-0.452,0.01719,4992.81,tumor,comprehensive
EPHA3,0.208,0.088892,4548.47,tumor,comprehensive
UFD1,0.993,0.099552,1959.79,tumor,comprehensive
GNG12,0.754,0.055406,397.68,tumor,comprehensive
KLC1,0.927,0.076775,745.08,tumor,comprehensive
CNTRL,-0.013,0.05737,3178.73,tumor,comprehensive
HMGA2,0.982,0.055683,1609.12,tumor,comprehensive
PERP,0.609,0.062209,3021.09,tumor,comprehensive
COP1,0.294,0.042378,2704.92,tumor,comprehensive
HEY2,-0.946,0.090542,4186.47,tumor,comprehensive
TLR3,-1.708,0.000433,549.29,tumor,comprehensive
POLR2E,0.964,0.054735,510.33,tumor,comprehensive
TLR9,-0.494,0.041988,4644.41,tumor,comprehensive
ATRX,1.004,0.002361,4538.47,tumor,comprehensive
TENT4A,-0.542,0.090397,509.52,tumor,comprehensive
ASF1A,0.006,0.025976,1165.93,tumor,comprehensive
TP63,0.527,0.08841,1537.31,tumor,comprehensive
NUP42,0.667,0.041131,4671.13,tumor,comprehensive
ERCC2,-0.725,0.055673,715.95,tumor,comprehensive
POLE4,0.673,0.062844,3715.6,tumor,comprehensive
PCLAF,-0.791,0.077508,2141.46,tumor,comprehensive
VWF,-0.051,0.036614,4664.83,tumor,comprehensive
MYL12B,-1.068,0.009841,2163.45,tumor,comprehensive
GNAI3,-0.175,0.046798,3815.36,tumor,comprehensive
NMT1,-0.189,0.057634,2136.26,tumor,comprehensive
FSTL3,0.302,0.052601,1609.44,tumor,comprehensive
GNAZ,-0.764,0.053721,543.26,tumor,comprehensive
NLRP4,-0.285,0.023898,1582.23,tumor,comprehensive
RAD51D,1.312,0.007866,660.8,tumor,comprehensive
SPTAN1,-0.309,0.053539,1474.53,tumor,comprehensive
FGF23,-0.128,0.097575,2526.73,tumor,comprehensive
DNMT3L,0.911,0.07112,2618.96,tumor,comprehensive
DUSP7,0.057,0.054326,4367.65,tumor,comprehensive
SEMA4D,0.405,0.060145,675.99,tumor,comprehensive
TP53BP1,-0.613,0.069197,648.1,tumor,comprehensive
FIP1L1,-0.116,0.05903,2433.58,tumor,comprehensive
FGA,1.0,0.091134,4970.81,tumor,comprehensive
EPHA7,-0.667,0.09264,330.4,tumor,comprehensive
MCRS1,0.092,0.037657,4252.77,tumor,comprehensive
POLI,1.079,0.009798,2667.46,tumor,comprehensive
MTF2,-0.468,0.06419,1279.37,tumor,comprehensive
CD14,-1.146,0.008692,2199.13,tumor,comprehensive
FANCB,0.037,0.071895,275.89,tumor,comprehensive
