symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MYC,2.393,0.000133,4414.2,tumor,lung_egfr
ERBB2,2.783,0.000749,1276.68,tumor,lung_egfr
EGFR,3.441,0.000463,1540.46,tumor,lung_egfr
KRAS,1.619,0.000888,3530.64,tumor,lung_egfr
PIK3CA,1.367,0.008987,430.86,tumor,lung_egfr
AKT1,1.751,0.000861,179.35,tumor,lung_egfr
CCND1,2.052,8.1e-05,568.19,tumor,lung_egfr
MDM2,1.632,0.000469,293.03,tumor,lung_egfr
BRAF,1.8,0.000563,2911.84,tumor,lung_egfr
NRAS,1.711,0.000529,2420.86,tumor,lung_egfr
TP53,-2.224,0.000148,3155.07,tumor,lung_egfr
RB1,-2.0,0.000312,3569.04,tumor,lung_egfr
PTEN,-1.852,0.000999,1641.52,tumor,lung_egfr
BRCA1,-1.613,0.000292,4314.32,tumor,lung_egfr
BRCA2,-2.766,0.000392,4624.13,tumor,lung_egfr
CDKN2A,-1.878,3.6e-05,2054.63,tumor,lung_egfr
CDKN1A,-0.855,0.052636,2520.75,tumor,lung_egfr
CDKN1B,-1.404,0.008178,3077.67,tumor,lung_egfr
APC,-1.111,0.006268,1228.06,tumor,lung_egfr
VHL,-0.949,0.074805,3305.41,tumor,lung_egfr
ATM,-1.165,0.008702,3648.77,tumor,lung_egfr
CHEK1,-1.355,0.008982,1200.96,tumor,lung_egfr
CHEK2,-1.142,0.002931,2296.72,tumor,lung_egfr
RAD51,-0.739,0.083973,3218.81,tumor,lung_egfr
PARP1,-0.662,0.085883,2610.5,tumor,lung_egfr
MLH1,-1.404,0.001597,1907.43,tumor,lung_egfr
MSH2,-0.98,0.034017,3630.39,tumor,lung_egfr
XRCC1,-0.639,0.022161,107.02,tumor,lung_egfr
ESR1,1.679,0.000245,1003.01,tumor,lung_egfr
PGR,1.647,0.000535,3100.34,tumor,lung_egfr
AR,0.85,0.094909,1332.11,tumor,lung_egfr
NEIL3,1.145,0.002076,3683.8,tumor,lung_egfr
RPA1,0.269,0.071336,3728.19,tumor,lung_egfr
FANCE,0.156,0.077602,1833.27,tumor,lung_egfr
MCRS1,0.561,0.073442,2495.83,tumor,lung_egfr
ZRANB1,0.809,0.099177,3003.62,tumor,lung_egfr
CDC25A,0.744,0.057564,2405.52,tumor,lung_egfr
CHUK,-0.368,0.033371,2280.42,tumor,lung_egfr
SALL1,-0.464,0.046036,1612.72,tumor,lung_egfr
SIRT6,-0.306,0.015658,1179.78,tumor,lung_egfr
FGF6,0.816,0.025811,2272.52,tumor,lung_egfr
CETN2,-0.421,0.034174,4372.35,tumor,lung_egfr
PSMB2,1.474,0.002745,545.38,tumor,lung_egfr
CRCP,1.008,0.004545,4976.61,tumor,lung_egfr
AURKB,0.877,0.091612,1456.68,tumor,lung_egfr
STAT3,-0.139,0.048524,3924.08,tumor,lung_egfr
PSMC1,-0.025,0.057008,4274.23,tumor,lung_egfr
ADCY6,-0.876,0.090925,4853.1,tumor,lung_egfr
CDKN1C,0.902,0.023043,2469.19,tumor,lung_egfr
CTDP1,-0.358,0.03053,3076.2,tumor,lung_egfr
CDK5R1,-0.171,0.058256,1345.13,tumor,lung_egfr
MAPK3,-0.039,0.089805,3917.59,tumor,lung_egfr
TDP1,-0.373,0.081324,3752.45,tumor,lung_egfr
RPA2,-0.344,0.027276,1343.43,tumor,lung_egfr
H2BC13,-0.997,0.059156,4800.74,tumor,lung_egfr
FAM114A2,-0.844,0.021393,4972.08,tumor,lung_egfr
DCLRE1A,0.176,0.018926,2832.44,tumor,lung_egfr
SATB1,0.119,0.049503,4733.94,tumor,lung_egfr
WFS1,0.633,0.090028,2785.63,tumor,lung_egfr
PSMD8,0.692,0.017302,3891.88,tumor,lung_egfr
TCF7,0.51,0.072154,2021.47,tumor,lung_egfr
CREBBP,-0.844,0.09937,4765.01,tumor,lung_egfr
PSENEN,-0.582,0.012181,4013.56,tumor,lung_egfr
TFAP2C,-0.697,0.054352,1547.36,tumor,lung_egfr
POLL,-0.749,0.027023,2154.23,tumor,lung_egfr
FGR,0.0,0.052778,155.06,tumor,lung_egfr
CARS1,-1.204,0.007437,2832.25,tumor,lung_egfr
ANAPC4,0.373,0.094426,4825.87,tumor,lung_egfr
MYD88,0.584,0.024846,3203.18,tumor,lung_egfr
MYH10,0.154,0.023754,4369.0,tumor,lung_egfr
FANCI,0.538,0.011417,4530.05,tumor,lung_egfr
CD14,1.543,0.000684,2434.09,tumor,lung_egfr
PRNP,-0.358,0.093815,2902.54,tumor,lung_egfr
ANAPC10,0.613,0.024236,1943.61,tumor,lung_egfr
DKK1,0.738,0.067961,1619.41,tumor,lung_egfr
MYL6,-0.744,0.032818,3621.17,tumor,lung_egfr
IGFBP2,-0.466,0.015405,4980.19,tumor,lung_egfr
AGO1,-0.486,0.065794,3970.23,tumor,lung_egfr
ADCY2,0.259,0.060262,4008.51,tumor,lung_egfr
COPS4,0.545,0.053496,3076.45,tumor,lung_egfr
CYSLTR2,-0.584,0.069625,3191.83,tumor,lung_egfr
NFKBIB,0.126,0.029331,4394.17,tumor,lung_egfr
TDG,0.527,0.082729,812.46,tumor,lung_egfr
ADORA2B,0.152,0.094324,714.05,tumor,lung_egfr
AQR,0.215,0.073044,1256.63,tumor,lung_egfr
FOXM1,1.427,0.008398,3463.1,tumor,lung_egfr
IGF1R,-0.96,0.046485,4630.3,tumor,lung_egfr
GNB4,1.139,0.003556,3059.3,tumor,lung_egfr
CACNB2,0.891,0.061219,511.33,tumor,lung_egfr
KL,0.051,0.029149,4443.71,tumor,lung_egfr
HCK,0.863,0.099331,922.61,tumor,lung_egfr
POLR3B,-0.022,0.067491,3169.83,tumor,lung_egfr
NCBP1,-0.344,0.021935,4772.15,tumor,lung_egfr
EPHA10,-1.071,0.003465,3680.13,tumor,lung_egfr
PPFIBP1,0.344,0.085134,280.66,tumor,lung_egfr
MAP3K11,1.1,0.00578,3246.91,tumor,lung_egfr
IL10RA,-0.847,0.071049,2925.34,tumor,lung_egfr
MSLN,0.692,0.024662,2720.62,tumor,lung_egfr
GNG13,-0.022,0.034681,725.13,tumor,lung_egfr
PRIM1,0.32,0.040396,936.12,tumor,lung_egfr
SPRED2,0.7,0.041604,4638.53,tumor,lung_egfr
RMI1,-0.991,0.025813,3045.28,tumor,lung_egfr
TICAM1,-1.427,0.00617,4792.01,tumor,lung_egfr
NUP188,-0.142,0.020749,3090.74,tumor,lung_egfr
AEBP2,-0.842,0.084311,3590.06,tumor,lung_egfr
TNFSF10,1.508,0.000533,2188.95,tumor,lung_egfr
TNC,-0.773,0.019639,3573.03,tumor,lung_egfr
SEPTIN4,0.544,0.057867,4741.77,tumor,lung_egfr
PAK2,-0.06,0.096502,1026.03,tumor,lung_egfr
TP53BP2,0.061,0.057968,3137.9,tumor,lung_egfr
REV3L,0.285,0.013047,1618.33,tumor,lung_egfr
BCR,0.009,0.098073,2852.8,tumor,lung_egfr
BCL2L14,-0.986,0.018471,3566.59,tumor,lung_egfr
MAPK1,0.077,0.018924,3749.95,tumor,lung_egfr
FGA,-1.099,0.003753,3486.99,tumor,lung_egfr
HSP90B1,0.007,0.062047,3210.25,tumor,lung_egfr
ORC4,-1.552,0.000184,4072.02,tumor,lung_egfr
HEYL,0.007,0.098391,2271.05,tumor,lung_egfr
PPP2CB,-0.057,0.023428,2460.51,tumor,lung_egfr
NOX4,0.514,0.030786,2698.8,tumor,lung_egfr
MAVS,-1.322,0.002131,2717.37,tumor,lung_egfr
XPA,-0.167,0.036947,1654.3,tumor,lung_egfr
COL2A1,-0.327,0.043461,1030.93,tumor,lung_egfr
GTF2H2,1.197,0.00906,4804.02,tumor,lung_egfr
H2BC12,1.036,0.001609,4081.6,tumor,lung_egfr
GNG4,0.268,0.079005,841.38,tumor,lung_egfr
IQGAP1,-0.009,0.067786,1457.9,tumor,lung_egfr
HHAT,0.189,0.08891,3848.44,tumor,lung_egfr
WDCP,0.089,0.030034,1660.46,tumor,lung_egfr
PRKX,-1.245,0.001884,2891.11,tumor,lung_egfr
CGA,0.011,0.01891,3874.93,tumor,lung_egfr
LRP5,-0.327,0.07961,3898.38,tumor,lung_egfr
MMP2,-0.578,0.02667,420.75,tumor,lung_egfr
COPS5,-0.173,0.028349,2923.31,tumor,lung_egfr
APOA1,-0.63,0.088503,482.55,tumor,lung_egfr
MSRB2,1.018,0.009765,3403.22,tumor,lung_egfr
WRN,-0.311,0.056287,1253.79,tumor,lung_egfr
BMI1,0.241,0.041985,4934.77,tumor,lung_egfr
DERL2,-0.233,0.068708,2869.34,tumor,lung_egfr
FOXO1,-0.349,0.043554,2199.35,tumor,lung_egfr
SEL1L,2.0,0.000363,519.08,tumor,lung_egfr
LRRFIP1,-1.315,0.005152,4195.26,tumor,lung_egfr
PPP2R5A,0.244,0.083132,3079.07,tumor,lung_egfr
RBPJ,0.909,0.057894,1651.91,tumor,lung_egfr
ELOA2,-0.37,0.080839,2628.13,tumor,lung_egfr
SPTB,-0.93,0.025532,1605.77,tumor,lung_egfr
EYA3,0.263,0.092994,2510.77,tumor,lung_egfr
GTF2F2,-0.739,0.073954,3264.47,tumor,lung_egfr
CCN1,-0.626,0.09783,2928.8,tumor,lung_egfr
RPS6KB2,-0.006,0.064449,1802.35,tumor,lung_egfr
APOA5,-1.201,0.00431,2671.76,tumor,lung_egfr
C4B,1.175,0.001527,1685.19,tumor,lung_egfr
FCGR2A,-0.884,0.04219,992.78,tumor,lung_egfr
RABGGTB,0.528,0.079054,4046.47,tumor,lung_egfr
TNIP3,0.399,0.076275,2590.1,tumor,lung_egfr
RAF1,-0.994,0.070251,1917.91,tumor,lung_egfr
CRIPTO,0.171,0.095808,3400.05,tumor,lung_egfr
RAD9A,-1.556,0.000449,1575.32,tumor,lung_egfr
H2AC8,0.943,0.045626,136.09,tumor,lung_egfr
PAPPA,1.167,0.008471,1631.68,tumor,lung_egfr
TENT4A,-0.565,0.083391,4040.84,tumor,lung_egfr
RND1,-0.083,0.014777,1502.95,tumor,lung_egfr
DNM1L,0.07,0.02054,2446.4,tumor,lung_egfr
ACTG1,0.423,0.047847,2401.28,tumor,lung_egfr
POLQ,-0.109,0.056605,3145.33,tumor,lung_egfr
GNRHR2,1.366,0.00113,1651.55,tumor,lung_egfr
NDUFA4,0.465,0.052971,3777.88,tumor,lung_egfr
SLC15A2,0.78,0.064177,3144.13,tumor,lung_egfr
IL3,1.121,0.008649,1629.53,tumor,lung_egfr
NOS2,0.642,0.016576,4127.12,tumor,lung_egfr
PHGDH,0.322,0.092374,1655.52,tumor,lung_egfr
CACNG6,1.281,0.006541,1413.01,tumor,lung_egfr
STK17A,1.56,0.000787,1165.91,tumor,lung_egfr
CA2,1.747,0.000232,202.71,tumor,lung_egfr
EHHADH,1.557,0.000201,289.23,tumor,lung_egfr
PHOSPHO1,1.636,0.000406,3354.47,tumor,lung_egfr
FCN2,1.457,0.003065,3276.22,tumor,lung_egfr
