symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MYC,2.839,0.000166,3279.02,tumor,pancreatic_pdac
ERBB2,2.0,8.6e-05,2181.66,tumor,pancreatic_pdac
EGFR,2.497,0.000559,1788.08,tumor,pancreatic_pdac
KRAS,3.19,0.000488,3934.68,tumor,pancreatic_pdac
PIK3CA,1.435,0.003322,2618.64,tumor,pancreatic_pdac
AKT1,1.416,0.004619,1487.34,tumor,pancreatic_pdac
CCND1,2.058,0.00082,765.94,tumor,pancreatic_pdac
MDM2,2.078,0.000878,483.44,tumor,pancreatic_pdac
BRAF,1.709,2.7e-05,1234.03,tumor,pancreatic_pdac
NRAS,0.983,0.02828,3212.68,tumor,pancreatic_pdac
TP53,-3.366,0.000359,1069.25,tumor,pancreatic_pdac
RB1,-1.105,0.00797,4366.85,tumor,pancreatic_pdac
PTEN,-1.198,0.002476,1621.86,tumor,pancreatic_pdac
BRCA1,-2.218,0.000261,643.71,tumor,pancreatic_pdac
BRCA2,-1.474,0.001304,2170.54,tumor,pancreatic_pdac
CDKN2A,-5.108,0.000294,525.51,tumor,pancreatic_pdac
CDKN1A,-0.655,0.025533,2232.43,tumor,pancreatic_pdac
CDKN1B,-1.385,0.0086,4432.63,tumor,pancreatic_pdac
APC,-1.017,0.008473,3727.74,tumor,pancreatic_pdac
VHL,-1.494,0.009529,4714.89,tumor,pancreatic_pdac
ATM,-0.911,0.063742,3018.4,tumor,pancreatic_pdac
CHEK1,-0.727,0.062169,2817.15,tumor,pancreatic_pdac
CHEK2,-1.228,0.008378,2853.69,tumor,pancreatic_pdac
RAD51,-1.026,0.004214,2139.31,tumor,pancreatic_pdac
PARP1,-0.86,0.042584,3386.32,tumor,pancreatic_pdac
MLH1,-1.617,0.000275,3233.66,tumor,pancreatic_pdac
MSH2,-1.114,0.007212,323.82,tumor,pancreatic_pdac
XRCC1,-0.735,0.082467,3461.59,tumor,pancreatic_pdac
ESR1,1.393,0.004523,2615.5,tumor,pancreatic_pdac
PGR,0.911,0.03041,1834.89,tumor,pancreatic_pdac
AR,1.548,8.4e-05,2571.02,tumor,pancreatic_pdac
CD247,0.119,0.010002,701.73,tumor,pancreatic_pdac
DAPK1,0.901,0.077354,1612.33,tumor,pancreatic_pdac
FANCD2,0.026,0.028742,4709.3,tumor,pancreatic_pdac
APPL1,0.61,0.043316,3171.35,tumor,pancreatic_pdac
AKT3,0.292,0.041041,1732.54,tumor,pancreatic_pdac
KPNA1,0.861,0.048339,293.28,tumor,pancreatic_pdac
BMF,-0.344,0.010892,3090.12,tumor,pancreatic_pdac
MBTPS1,-0.764,0.014487,1799.52,tumor,pancreatic_pdac
UBE2E1,1.155,0.006866,4436.89,tumor,pancreatic_pdac
RUVBL1,0.835,0.082979,456.59,tumor,pancreatic_pdac
CALU,-0.219,0.077414,1689.53,tumor,pancreatic_pdac
TRAF2,-1.092,0.009111,4355.62,tumor,pancreatic_pdac
GHR,1.176,0.002198,4811.06,tumor,pancreatic_pdac
NANOG,-1.139,0.001534,4254.13,tumor,pancreatic_pdac
NSMCE4A,0.563,0.06115,3525.83,tumor,pancreatic_pdac
NTF3,-0.764,0.039017,596.35,tumor,pancreatic_pdac
RTEL1,1.408,0.001938,1926.77,tumor,pancreatic_pdac
PSMD2,0.309,0.035106,3781.67,tumor,pancreatic_pdac
ZFYVE9,0.898,0.087168,506.0,tumor,pancreatic_pdac
DCC,-0.699,0.068698,1635.65,tumor,pancreatic_pdac
GGT1,0.59,0.048499,3520.07,tumor,pancreatic_pdac
FGFR2,-0.051,0.032067,2547.32,tumor,pancreatic_pdac
CAMK2D,0.626,0.050217,3345.89,tumor,pancreatic_pdac
POLR3B,-0.619,0.025683,4738.82,tumor,pancreatic_pdac
RIGI,-0.542,0.059113,4534.17,tumor,pancreatic_pdac
TGOLN2,0.961,0.065068,2845.64,tumor,pancreatic_pdac
AHCYL1,-0.226,0.070589,4276.07,tumor,pancreatic_pdac
ABL1,-0.667,0.076386,3077.79,tumor,pancreatic_pdac
AGO2,-0.035,0.058444,2868.79,tumor,pancreatic_pdac
CST3,-0.278,0.071812,2067.58,tumor,pancreatic_pdac
FGF4,0.538,0.058191,2352.93,tumor,pancreatic_pdac
TENT4A,-0.419,0.034201,3250.65,tumor,pancreatic_pdac
BRIP1,-0.791,0.070733,1204.38,tumor,pancreatic_pdac
TP53BP2,0.239,0.097618,4260.64,tumor,pancreatic_pdac
MCM2,-0.309,0.07651,2263.69,tumor,pancreatic_pdac
ESRP1,0.562,0.065195,3023.37,tumor,pancreatic_pdac
FGF3,-0.396,0.06107,849.11,tumor,pancreatic_pdac
NUP58,-0.309,0.022136,4068.17,tumor,pancreatic_pdac
PPP3R1,-0.095,0.099002,1628.07,tumor,pancreatic_pdac
COL5A3,-0.326,0.029444,4337.47,tumor,pancreatic_pdac
STC2,1.148,0.002318,4788.41,tumor,pancreatic_pdac
PAXIP1,-0.432,0.088223,3893.77,tumor,pancreatic_pdac
SDC2,0.13,0.088766,563.39,tumor,pancreatic_pdac
TRAT1,0.181,0.044254,1054.23,tumor,pancreatic_pdac
ADD1,0.689,0.045534,1570.47,tumor,pancreatic_pdac
SMC6,0.649,0.071987,2373.45,tumor,pancreatic_pdac
RPA3,-0.783,0.018393,2583.66,tumor,pancreatic_pdac
PSMA2,0.047,0.061737,3706.15,tumor,pancreatic_pdac
RNF135,0.364,0.038169,4715.9,tumor,pancreatic_pdac
CDCA8,0.158,0.020821,264.19,tumor,pancreatic_pdac
PTPN11,-0.329,0.057559,3764.51,tumor,pancreatic_pdac
ERCC1,-0.513,0.081727,3552.34,tumor,pancreatic_pdac
MCF2,-1.139,0.004976,2193.97,tumor,pancreatic_pdac
AURKA,0.402,0.09041,3384.33,tumor,pancreatic_pdac
POLR2H,0.427,0.083593,2355.43,tumor,pancreatic_pdac
CRIPTO,0.825,0.05224,3615.03,tumor,pancreatic_pdac
FANCG,-0.053,0.059368,3664.26,tumor,pancreatic_pdac
BRAP,-0.902,0.09812,3226.34,tumor,pancreatic_pdac
ERCC5,-0.269,0.043662,2233.08,tumor,pancreatic_pdac
E2F2,-0.272,0.09335,3113.86,tumor,pancreatic_pdac
