gene_symbol,transcript_id,expression_fold_change,chromosome,pathways,go_biological_process,drug_count
ABRAXAS1,ENST00000321945,0.313,chr4,Cell Cycle|Cell Cycle Checkpoints|Deubiquitination|DNA Double-Strand Break Repair|DNA Double Strand Break Response|DNA Repair|G2/M Checkpoints|G2/M DNA damage checkpoint|HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)|Homology Directed Repair|Metabolism of proteins|Metalloprotease DUBs|Nonhomologous End-Joining (NHEJ)|Post-translational protein modification|Processing of DNA double-strand break ends|Recruitment and ATM-mediated phosphorylation of repair and signaling ,attachment of spindle microtubules to kinetochore,0
ACAP3,ENST00000353662,2.781,chr1,,,0
ACTRT2,ENST00000378404,1.29,chr1,,cytoskeleton organization,0
ADRA2A,ENST00000280155,0.907,chr10,"Adrenaline,noradrenaline inhibits insulin secretion|Adrenaline signalling through Alpha-2 adrenergic receptor|Adrenoceptors|Amine ligand-binding receptors|Class A/1 (Rhodopsin-like receptors)|G alpha (i) signalling events|G alpha (z) signalling events|GPCR downstream signalling|GPCR ligand binding|Hemostasis|Integration of energy metabolism|Metabolism|Metabolism of proteins|Platelet activation, signaling and aggregation|Platelet Aggregation (Plug Formation)|Regulation of insulin secretion|Signal",actin cytoskeleton organization,5
ADRA2B,ENST00000620793,0.315,chr2,"Adrenaline signalling through Alpha-2 adrenergic receptor|Adrenoceptors|Amine ligand-binding receptors|Class A/1 (Rhodopsin-like receptors)|G alpha (i) signalling events|G alpha (z) signalling events|GPCR downstream signalling|GPCR ligand binding|Hemostasis|Platelet activation, signaling and aggregation|Platelet Aggregation (Plug Formation)|Signaling by GPCR|Signal Transduction",adenylate cyclase-inhibiting adrenergic receptor signaling pathway,5
ADRA2C,ENST00000330055,3.769,chr4,"Adrenaline,noradrenaline inhibits insulin secretion|Adrenaline signalling through Alpha-2 adrenergic receptor|Adrenoceptors|Amine ligand-binding receptors|Class A/1 (Rhodopsin-like receptors)|G alpha (i) signalling events|G alpha (z) signalling events|GPCR downstream signalling|GPCR ligand binding|Hemostasis|Integration of energy metabolism|Metabolism|Metabolism of proteins|Platelet activation, signaling and aggregation|Platelet Aggregation (Plug Formation)|Regulation of insulin secretion|Signal",adenylate cyclase-inhibiting adrenergic receptor signaling pathway,5
AGRN,ENST00000379370,2.696,chr1,,cell differentiation,0
AJAP1,ENST00000378190,0.572,chr1,,cell adhesion,0
ANKRD65,ENST00000427211,4.062,chr1,,,0
ANKRD65-AS1,ENST00000428932,0.854,chr1,,,0
AR,ENST00000374690,1.304,chrX,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3|Cellular responses to stimuli|Cellular responses to stress|Deubiquitination|Gene expression (Transcription)|Generic Transcription Pathway|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|Metabolism of proteins|Nuclear Receptor transcription pathway|Post-translational protein modification|RHO GTPase Effectors|RHO GTPases activate PKNs|RNA Polymerase II Transcription|R,androgen receptor signaling pathway,13
ARHGEF16,ENST00000378371,2.544,chr1,"CDC42 GTPase cycle|Cell death signalling via NRAGE, NRIF and NADE|Death Receptor Signaling|G alpha (12/13) signalling events|GPCR downstream signalling|NRAGE signals death through JNK|p75 NTR receptor-mediated signalling|RHOG GTPase cycle|RHO GTPase cycle|Signaling by GPCR|Signaling by Rho GTPases|Signaling by Rho GTPases, Miro GTPases and RHOBTB3|Signal Transduction",activation of GTPase activity,0
ATAD3A,ENST00000378755,1.069,chr1,,antiviral innate immune response,0
ATAD3B,ENST00000308647,2.339,chr1,Immune System|Innate Immune System|Neutrophil degranulation,mitochondrion organization,0
ATAD3C,ENST00000378785,1.242,chr1,,mitochondrion organization,0
ATM,ENST00000278616,1.324,chr11,Autodegradation of the E3 ubiquitin ligase COP1|Autophagy|Cell Cycle|Cell Cycle Checkpoints|Cellular responses to stimuli|Cellular responses to stress|Cellular response to heat stress|Cellular Senescence|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function|Defective homologous recombination repair (HRR) due to BRCA1 loss of functi,cellular response to gamma radiation,0
AURKAIP1,ENST00000321751,0.787,chr1,Metabolism of proteins|Mitochondrial ribosome-associated quality control|Mitochondrial translation|Mitochondrial translation elongation|Mitochondrial translation initiation|Mitochondrial translation termination|Translation,mitochondrial translation,0
B3GALT6,ENST00000379198,3.932,chr1,Defective B3GALT6 causes EDSP2 and SEMDJL1|Disease|Diseases associated with glycosaminoglycan metabolism|Diseases of glycosylation|Diseases of metabolism|Glycosaminoglycan metabolism|Glycosaminoglycan-protein linkage region biosynthesis|Metabolism|Metabolism of carbohydrates and carbohydrate derivatives,chondroitin sulfate proteoglycan biosynthetic process,0
BARD1,ENST00000260947,1.252,chr2,,cellular response to ionizing radiation,0
BRCA1,ENST00000352993,0.812,chr17,,cellular response to indole-3-methanol,0
BRCA2,ENST00000380152,0.891,chr13,Cell Cycle|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function|Defective homologous recombination repair (HRR) due to BRCA1 loss of function|Defective homologous recombination repair (HRR) due to BRCA2 loss of function|Defective homologous recombination repair (HRR) due to PALB2 loss of function|Disease|Diseases of DNA Double-Str,cellular response to ionizing radiation,0
BRIP1,ENST00000259008,1.225,chr17,Cell Cycle|Cell Cycle Checkpoints|Cytosolic iron-sulfur cluster assembly|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function|Defective homologous recombination repair (HRR) due to BRCA1 loss of function|Defective homologous recombination repair (HRR) due to BRCA2 loss of function|Defective homologous recombination repair (HRR) du,DNA damage checkpoint signaling,0
C11orf65,ENST00000393084,0.88,chr11,,,0
C1QTNF12,ENST00000330388,3.013,chr1,,negative regulation of gluconeogenesis,0
C1orf159,ENST00000379319,2.815,chr1,,,0
C1orf174,ENST00000361605,2.973,chr1,,,0
CALML6,ENST00000307786,0.482,chr1,,microtubule cytoskeleton organization,0
CCDC27,ENST00000294600,2.733,chr1,,,0
CCNL2,ENST00000400809,5.278,chr1,,regulation of apoptotic process,0
CD274,ENST00000381573,0.605,chr9,,adaptive immune response,4
CDH1,ENST00000261769,4.552,chr16,,adherens junction organization,0
CDK11A,ENST00000356200,3.328,chr1,,apoptotic process,0
CDK11B,ENST00000340677,1.266,chr1,"Cell Cycle|Cell Cycle, Mitotic|Centrosome maturation|G2/M Transition|Mitotic G2-G2/M phases|Recruitment of mitotic centrosome proteins and complexes",apoptotic process,0
